Datetime,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-01-07 23:23:00,1.278821,1.278821,1.278821,1.278821,0.000000
2019-01-07 23:24:00,1.278805,1.278805,1.278805,1.278805,0.000000
2019-01-07 23:25:00,1.278740,1.278740,1.278740,1.278740,0.000000
2019-01-07 23:27:00,1.278936,1.278936,1.278936,1.278936,0.000000
2019-01-07 23:28:00,1.278936,1.278936,1.278936,1.278936,0.000000
2019-01-07 23:30:00,1.278936,1.278936,1.278936,1.278936,0.000000
2019-01-07 23:31:00,1.278707,1.278707,1.278707,1.278707,0.000000
2019-01-07 23:32:00,1.278707,1.278707,1.278707,1.278707,0.000000
2019-01-07 23:33:00,1.278805,1.278805,1.278805,1.278805,0.000000
2019-01-07 23:34:00,1.278838,1.278838,1.278838,1.278838,0.000000
2019-01-07 23:35:00,1.278740,1.278740,1.278740,1.278740,0.000000
2019-01-07 23:36:00,1.278576,1.278576,1.278576,1.278576,0.000000
2019-01-07 23:37:00,1.278805,1.278805,1.278805,1.278805,0.000000
2019-01-07 23:38:00,1.278821,1.278821,1.278821,1.278821,0.000000
2019-01-07 23:39:00,1.278821,1.278821,1.278821,1.278821,0.000000
2019-01-07 23:40:00,1.278805,1.278805,1.278805,1.278805,0.000000
2019-01-07 23:41:00,1.278789,1.278789,1.278789,1.278789,0.000000
2019-01-07 23:42:00,1.278805,1.278805,1.278805,1.278805,0.000000
2019-01-07 23:43:00,1.278821,1.278821,1.278821,1.278821,0.000000
2019-01-07 23:44:00,1.278838,1.278838,1.278838,1.278838,0.000000
2019-01-07 23:45:00,1.278838,1.278838,1.278838,1.278838,0.000000
2019-01-07 23:46:00,1.278821,1.278821,1.278821,1.278821,0.000000
2019-01-07 23:47:00,1.278821,1.278821,1.278821,1.278821,0.000000
2019-01-07 23:48:00,1.278691,1.278691,1.278691,1.278691,0.000000
2019-01-07 23:49:00,1.278593,1.278593,1.278593,1.278593,0.000000
2019-01-07 23:50:00,1.278609,1.278609,1.278609,1.278609,0.000000
2019-01-07 23:51:00,1.278593,1.278593,1.278593,1.278593,0.000000
2019-01-07 23:52:00,1.278543,1.278543,1.278543,1.278543,0.000000
2019-01-07 23:54:00,1.278642,1.278642,1.278527,1.278527,0.000000
2019-01-07 23:56:00,1.278527,1.278527,1.278527,1.278527,0.000000
2019-01-07 23:57:00,1.278511,1.278511,1.278511,1.278511,0.000000
2019-01-07 23:58:00,1.278511,1.278511,1.278511,1.278511,0.000000
2019-01-08 00:00:00,1.278593,1.278593,1.278593,1.278593,0.000000
2019-01-08 00:00:00,1.278593,1.278593,1.278593,1.278593,0.000000
2019-01-08 00:01:00,1.278593,1.278593,1.278593,1.278593,0.000000
2019-01-08 00:03:00,1.278511,1.278511,1.278511,1.278511,0.000000
2019-01-08 00:05:00,1.278723,1.278723,1.278723,1.278723,0.000000
